Datetime,Tweet_Id,Text,Username,Reply_to,Hashtags,original
2023-05-31 20:50:30+00:00,1664011493669478401,@sxmphnie El tren que solicitas efectuará parada a las 23:39h aproximadamente. Saludos.,CercaniasMadrid,1664010997286285312,,@CercaniasMadrid¿A qué hora sale el ultimo tren destino Parla desde Sol?
2023-05-31 20:49:59+00:00,1664011363943940096,@raul_gpnzalez El tren efectuará parada en 7' aproximadamente. Saludos Raúl.,CercaniasMadrid,1664010943213236225,,@CercaniasMadridel tren destino Vallecas de las 22:42 en nuevos ministerios donde anda para variar???
2023-05-31 20:46:20+00:00,1664010446351790080,"@monaredexmort Buenas noches. Sí Estefanía, los justificantes se deben solicitar en la estación de destino. Sentimos las molestias ocasionadas. Un saludo.",CercaniasMadrid,1664009244159483905,,@CercaniasMadridsi cojo un tren en fuenla y finalizó en chamartin haciendo cambio en Atocha. Si la C5 circula mal ¿donde pido el justificante? En la estación final? Me han puesto pegas porque la C5 no pasa por allí
2023-05-31 19:51:24+00:00,1663996618708754434,"@ISAMARRgarcia Buenas noches. El tren efectuará parada, aproximadamente, a las 22:04h. Un saludo y disculpa la espera.",CercaniasMadrid,1663994854983053314,,"Buenos días. 
Si quieres conocer la información en tiempo real 🕖 sobre el servicio de Cercanías, suscríbete a nuestro sistema de avisos personalizados en@CercaniasAvisos.

(Fotografía cortesía de Álvaro,
@srto_adh. ¡Muchas gracias!)"
2023-05-31 19:48:20+00:00,1663995848047439872,@eleanorerig Buenas noches. El próximo tren efectuará parada a las 22:08h aproximadamente. Saludos.,CercaniasMadrid,1663995170424074240,,
2023-05-31 19:46:15+00:00,1663995323016945664,@marlmoro89 El próximo tren efectuará su entrada en Chamartín a las 21:50h aproximadamente. Saludos.,CercaniasMadrid,1663994447544164354,,"Hola, Va a pasar el tren de fuente de la mora- guadalajara  en chamartin de las 21:40?@CercaniasMadrid"
2023-05-31 19:45:49+00:00,1663995215332495360,"@frechi19 El tren efectuará su entrada a las 21:50h, aproximadamente, en la estación de Chamartín. Un saludo.",CercaniasMadrid,1663994396587458563,,"#MadC5Debido a un problema técnico en un tren a la altura de Fuenlabrada, se están produciendo demoras y retenciones en toda la línea, en ambos sentidos. Algunos trenes pueden ver alterado su recorrido o destino habitual."
2023-05-31 19:43:28+00:00,1663994624409567232,@marinagc54 Hola Marina. El tren efectuará parada a las 21:58h aproximadamente. Saludos.,CercaniasMadrid,1663992698494242816,,@CercaniasMadridcuando pasa el siguiente tren a Guadalajara por Nuevos Ministerios?
2023-05-31 19:36:38+00:00,1663992903063019525,@elizg97 Hola Eli. El próximo tren efectuará parada a las 21:48h aproximadamente. Saludos.,CercaniasMadrid,1663992389957042183,,@CercaniasMadridhola cuando pasa el próximo tren por atocha dirección la serna???
2023-05-31 18:44:26+00:00,1663979769627590674,@Adriparla17 El tren efectuará su salida en breves momentos. Disculpa la espera.,CercaniasMadrid,1663979195490287654,,@CercaniasMadrid¿Se sabe algo del tren a Alcobendas? estamos en chamartin pero no tenemos noticias de su salida
