Datetime,Tweet_Id,Text,Username,Reply_to,Hashtags,original
2023-04-06 17:57:25+00:00,1644036604749664256,"@sullney Hola, debido a las obras de Cercanías Madrid, se ha producido un plan alternativo de transporte. Para poder viajar desde la estación de Sol hasta Aranjuez, tienes que hacer transbordo en Atocha con destino #MadC3. Un saludo.",CercaniasMadrid,1644034428195205134,['MadC3'],"¿Cuándo pasa el tren dirección Aranjuez, por Sol?@CercaniasMadriden la página web no me carga la información."
2023-04-06 16:46:32+00:00,1644018763165999122,"@clariilu_98 Buenas tardes Clara, está previsto que circule en su horario programado. Un saludo.",CercaniasMadrid,1644018206867070982,,"@CercaniasMadridhola! Va a pasar el tren de las 18:47 por aravaca, dirección T4? Gracias"
2023-04-06 16:43:46+00:00,1644018068992000001,"@Antonio63685719 Hola, puedes poner una reclamación en la oficina de atención al cliente o en el siguiente enlace: https://t.co/AQme2Xcvu5. Un saludo.",CercaniasMadrid,1644017491574661130,,"📢 Recuerda:  
Obras en la infraestructura entre Nuevos Ministerios y Chamartín por el túnel de Sol.

🔴 Líneas afectadas: C3, C3a, C4, C4a y C4b. Resto de líneas realizan su recorrido habitual.

➡️ Plan Alternativo de Transporte:bit.ly/3H1rf8Z#ChamartínMásCerca"
2023-04-06 16:34:06+00:00,1644015633544126480,"📢 Recuerda:  
Obras en la infraestructura entre Nuevos Ministerios y Chamartín por el túnel de Sol.

🔴 Líneas afectadas: C3, C3a, C4, C4a y C4b. Resto de líneas realizan su recorrido habitual.

➡️ Plan Alternativo de Transporte: https://t.co/7uWpgOqnOf
#ChamartínMásCerca https://t.co/UFw48W2spH",CercaniasMadrid,None,['ChamartínMásCerca'],
2023-04-06 15:47:04+00:00,1644003799038668806,"@gslnpafp Hola, tienes que reservar tu plaza en taquilla o autoventa de la estación. Se puede hacer con el abono recurrente sin necesidad de abonar un billete aparte. Un saludo.",CercaniasMadrid,1644002667759382530,,@CercaniasMadridpara ir a Cotos en tren donde se hace reserva? Y teniendo el abono recurrente? Gracias
2023-04-06 15:03:35+00:00,1643992856556609536,"@IsabelRiMu Hola Isabel, hemos comprobado que acaba de efectuar salida de la estación. Disculpa la espera. Un saludo.",CercaniasMadrid,1643991801672646656,,
2023-04-06 13:08:54+00:00,1643963995903217668,"@DARKBLACK74 Hola, sí, están circulando trenes en ambas líneas. Un saludo.",CercaniasMadrid,1643961190169841664,,@CercaniasMadriden la app no hay trenes hoy de sol a pinto. ¿Hay algun problrma?
2023-04-06 10:27:49+00:00,1643923457023832071,"@Mina10625236 Hola de nuevo, la estación de recoletos permanecerá abierta el día de hoy. Un saludo.",CercaniasMadrid,1643921578248290304,,"@CercaniasMadridla entrada a la estación de recoletos cierra a alguna hora en especial? El domingo estaba cerrada a las 22h, es que no sé pueden coger trenes ahí?"
2023-04-06 10:27:11+00:00,1643923296537247746,"@Mina10625236 Hola, comprobamos que los trenes circulan con sus frecuencias de paso habituales, la estación de Sol permanecerá abierta el día de hoy. Un saludo.",CercaniasMadrid,1643920998427705344,,@CercaniasMadridla línea c5 la serna-atocha funciona con normalidad hoy? Y la estación de sol cerrará en algún horario? Gracias
2023-04-06 10:14:03+00:00,1643919992193253380,"@SrMenorca Buenos días, comprobamos que los trenes circulan con sus frecuencias de paso habituales. Un saludo.",CercaniasMadrid,1643919194466013184,,"@CercaniasMadridBuenos dias, alguna incidencia en la C4, o todo correcto?"
2023-04-06 09:52:02+00:00,1643914453019242497,"@kukete1991 Hola, comprobamos que a las 12:03h aproximadamente efectuará su entrada en la estación de Atocha. Un saludo.",CercaniasMadrid,1643913520440913920,,@CercaniasMadridbuenos días! Podría decirme cuándo sale el.proximo tren adaptado a movilidad reducida hacia Guadalajara desde Atocha. Gracias!!
2023-04-06 08:52:12+00:00,1643899394486415360,"@Itsmenhoa Hola, comprobamos que en breves reanudará su marcha. Un saludo.",CercaniasMadrid,1643898308019077120,,@CercaniasMadridcuando se supone que va a salir hacia sol el tren de la c4 que lleva parado en atocha 10min?
2023-04-06 04:37:56+00:00,1643835405513400321,"@ESMEGAES Buenos días, si nos indicas en qué estación te encuentras ahora mismo, podremos pasar aviso a personal responsable. Un saludo.",CercaniasMadrid,1643834865232519168,,"@CercaniasMadridBuenos días, en el tren destino Cercedilla tiene la calefacción puesta muy alta, podrían bajarla por favor. Por los menos en el vagón dos."
2023-04-06 04:15:19+00:00,1643829713897500672,"@YScurte Hola, puedes consultar las frecuencias y los horarios de los trenes en el siguiente enlace: https://t.co/QWmkt46JSl
Un saludo.",CercaniasMadrid,1643821679779495936,,"@CercaniasMadridbuenos días, a qué hora saldrá el tren desde humanes a Méndez Álvaro?"
