Datetime,Tweet_Id,Text,Username,Reply_to,Hashtags,original
2023-04-11 21:32:45+00:00,1645902734128828416,"@quiquebar Hola Enrique en 15' aproximadamente tienes el próximo tren a Fuenlabrada, un saludo.",CercaniasMadrid,1645901233457332224,,@CercaniasMadridllevamos en Atocha diez minutos esperando el de Fuenlabrada y no pone cuando pasa el siguiente. Cuanto va a tardar?
2023-04-11 20:21:00+00:00,1645884677142487042,"@PedroMa30689911 Hola, está próximo a realizar su entrada e la estación, un saludo.",CercaniasMadrid,1645883890584760320,,
2023-04-11 19:36:00+00:00,1645873352618246145,"@CRB17905342 Hola, está a punto de efectuar salida, un saludo.",CercaniasMadrid,1645872686600716288,,@CercaniasMadrid¿Cuando sale el tren dirección Aranjuez de Atocha que salía a las 21:24h?
2023-04-11 19:35:54+00:00,1645873326227587072,"@sandryatmgeta83 Hola, está a punto de efectuar salida, un saludo.",CercaniasMadrid,1645872527363969031,,"@CercaniasMadridestamos en Atocha esperando que el tren destino Aranjuez salga,lleva más de 7 minutos de retraso ¿que problema hay? Gracias"
2023-04-11 19:11:49+00:00,1645867267589132340,"@rdgz__ Hola, el próximo tren circula con demora acumulada, y está previsto que salga desde Atocha en 10' aproximadamente, un saludo.",CercaniasMadrid,1645866520348708878,,@CercaniasMadridEl tren destino Aranjuez que pasaba a las 21:04 por Atocha donde esta???
2023-04-11 19:11:09+00:00,1645867099825360908,"@PSaturada Hola, el próximo tren circula con demora acumulada, y está previsto que salga desde Atocha en 10' aproximadamente, un saludo.",CercaniasMadrid,1645865847758659586,,@CercaniasMadrid¿Dónde está el C3 desde Atocha a Aranjuez de las 21:04? ¿Va a pasar o se lo van a comer? Y si pasa ¿cuándo?
2023-04-11 18:40:51+00:00,1645859474412896256,"@gslnpafp Hola, está previsto que salga el siguiente tren en unos 10' aproximadamente, un saludo.",CercaniasMadrid,1645858862635929616,,@CercaniasMadridcuando pasará el tren a Aranjuez? Desde atoch???
2023-04-11 18:18:54+00:00,1645853946882162689,"@Angelillo1960 Hola Ángel, en ese tramo hay una incidencia en la infraestructura que está provocando demoras y retenciones en la línea, y el siguiente tren está previsto en unos 5' aproximadamente, un saludo.",CercaniasMadrid,1645852960771960832,,@CercaniasMadridhola cuando va a pasar el tren a nuevos ministerios desde valdebebas?
2023-04-11 18:18:31+00:00,1645853853445771284,"@AmelinePool Hola, el tren llegará en 5' aproximadamente. Un saludo.",CercaniasMadrid,1645853186123603969,,"🔊 ¡Vuelve el Tren de Cervantes! 
Estrena la nueva temporada 2023 con un viaje que se adentra en la vida y obra de tan ilustre autor ✍️. 

Descubre Alcalá de Henares de la mano de Miguel de Cervantes. ¡Te esperamos!
Toda la info 👉bit.ly/3nMxZQY"
2023-04-11 18:17:21+00:00,1645853559609610246,"@AndreaQuiirosa Hola, el tren está próximo a efectuar su entrada en la estación. Un saludo.",CercaniasMadrid,1645852663739830272,,@CercaniasMadridHola próximo tren desde Aranjuez a Atocha?
2023-04-11 17:45:40+00:00,1645845583154774018,"@verozuu Hola Vero, hay un tren ahora mismo a punto de efectuar salida desde Aeropuerto T4, un saludo.",CercaniasMadrid,1645845050352345089,,@CercaniasMadridhola cuando va a pasar el tren a nuevos ministerios desde valdebebas?
2023-04-11 17:31:37+00:00,1645842047771738118,"@guerrita1985 Hola, está previsto que en 15' aproximadamente salga desde Atocha el próximo tren destino Aranjuez, un saludo.",CercaniasMadrid,1645841485193936908,,@CercaniasMadrida que hora pasará el próximo tren por villaverde bajo dirección aranjuez?
2023-04-11 17:05:00+00:00,1645835350135144472,"@karol_0594 Hola, en vía 5 hay un tren Civis con destino Aranjuez que está próximo a efectuar su salida de la estación. Un saludo.",CercaniasMadrid,1645834354478678031,,
2023-04-11 17:01:57+00:00,1645834581960949768,"@Vibi_CuaC Hola, pasamos aviso al personal responsable, mientras si puedes, intenta cambiarte de coche, pues tienen la climatización individualizada, un saludo.",CercaniasMadrid,1645833130622713870,,@CercaniasMadriden el tren dirección Guadalajara que pasa por recoletos lleváis la calefacción hace un calor que no se puede estar
2023-04-11 16:53:40+00:00,1645832499799392266,"@Meer58779203 Hola, es porque en estos momentos una incidencia de la infraestructura está provocando las demoras en la salida de los trenes, disculpa la espera, un saludo.",CercaniasMadrid,1645831320403156993,,@CercaniasMadridPorque no sale el tren desde Atocha a Parla? Llevamos 15 minutos parados.
2023-04-11 16:53:34+00:00,1645832473912172546,"@applepowers89 Hola, es porque en estos momentos una incidencia de la infraestructura está provocando las demoras en la salida de los trenes, disculpa la espera, un saludo.",CercaniasMadrid,1645831156028301313,,@CercaniasMadridestamos en Atocha montados en el tren de dirección Parla. Pero el tren no sale. Cuando vamos a salir?
2023-04-11 16:52:57+00:00,1645832318693658624,"@capichampions Hola, es porque en estos momentos una incidencia de la infraestructura está provocando las demoras en la salida de los trenes, disculpa la espera, un saludo.",CercaniasMadrid,1645831073140441096,,@CercaniasMadridporque no nos movemos de atocha? Tren dirección parla ? Parado en Atocha 10 min
2023-04-11 16:52:03+00:00,1645832092998152194,"@AnaBele666 Hola el siguiente en 9' aproximadamente, y el de después en 11' aproximadamente, un saludo.",CercaniasMadrid,1645830828600041472,,@CercaniasMadridhola cuando pasan los 2 próximos trenes dirección Móstoles por Atocha?
2023-04-11 16:47:15+00:00,1645830885768298507,"@Carlytos1990 Hola Carlos, en estos momentos hay una avería en la infraestructura en la zona de Chamartín que en ese tramo provoca la ralentización de la marcha, disculpa la espera.",CercaniasMadrid,1645830375975931909,,"20 min entre Nuevos Ministerios y Atocha, parado 5 min en cada estación.. ¿Es normal@CercaniasMadrid?"
2023-04-11 16:44:07+00:00,1645830095385264140,"@juuliaa_19 Hola de nuevo, sí está previsto que salga en breve desde Atocha a Aranjuez.",CercaniasMadrid,1645829359368798214,,
2023-04-11 16:40:15+00:00,1645829123884093441,"@juuliaa_19 Hola Julia, hay un tren próximo a realizar su salida desde Aranjuez, un saludo.",CercaniasMadrid,1645828757880553472,,
2023-04-11 16:37:06+00:00,1645828330325778432,"🔊 ¡Vuelve el Tren de Cervantes! 
Estrena la nueva temporada 2023 con un viaje que se adentra en la vida y obra de tan ilustre autor ✍️. 

Descubre Alcalá de Henares de la mano de Miguel de Cervantes. ¡Te esperamos!
Toda la info 👉 https://t.co/hMOD8SNfMA https://t.co/mxBEUYIjg0",CercaniasMadrid,None,,
2023-04-11 16:37:06+00:00,1645828330325778432,"🔊 ¡Vuelve el Tren de Cervantes! 
Estrena la nueva temporada 2023 con un viaje que se adentra en la vida y obra de tan ilustre autor ✍️. 

Descubre Alcalá de Henares de la mano de Miguel de Cervantes. ¡Te esperamos!
Toda la info 👉 https://t.co/hMOD8SNfMA https://t.co/mxBEUYIjg0",CercaniasMadrid,None,,
